Date,S&P,Long Interest Rate,Real Price,Real Dividend,CAPE,Date Fraction
1881.01,6.19,3.7,162.1,6.94,18.47,1881.04
1881.02,6.17,3.69,159.96,7,18.15,1881.12
1881.03,6.24,3.69,161.78,7.13,18.27,1881.21
1881.04,6.22,3.68,159.66,7.19,17.95,1881.29
1881.05,6.5,3.67,168.52,7.39,18.87,1881.37
1881.06,6.58,3.67,170.59,7.52,19.03,1881.46
1881.07,6.35,3.66,163,7.57,18.12,1881.54
1881.08,6.2,3.65,156.06,7.55,17.29,1881.62
1881.09,6.25,3.65,151.44,7.39,16.72,1881.71
1881.1,6.15,3.64,147.63,7.44,16.26,1881.79
1881.11,6.19,3.63,149.98,7.63,16.48,1881.87
1881.12,6.01,3.63,145.62,7.75,15.96,1881.96
1882.01,5.92,3.62,143.44,7.75,15.68,1882.04
1882.02,5.79,3.62,138.99,7.68,15.15,1882.12
1882.03,5.78,3.62,138.75,7.68,15.09,1882.21
1882.04,5.78,3.62,137.48,7.61,14.92,1882.29
1882.05,5.71,3.62,134.58,7.54,14.57,1882.37
1882.06,5.68,3.62,132.67,7.47,14.33,1882.46
1882.07,6,3.63,141.41,7.54,15.24,1882.54
1882.08,6.18,3.63,144.34,7.47,15.53,1882.62
1882.09,6.24,3.63,149.79,7.68,16.08,1882.71
1882.1,6.07,3.63,147.07,7.75,15.76,1882.79
1882.11,5.81,3.63,142.1,7.83,15.19,1882.87
1882.12,5.84,3.63,144.2,7.9,15.38,1882.96
1883.01,5.81,3.63,143.46,7.92,15.27,1883.04
1883.02,5.68,3.63,138.92,7.87,14.76,1883.12
1883.03,5.75,3.63,141.97,7.96,15.05,1883.21
1883.04,5.87,3.63,146.33,8.06,15.48,1883.29
1883.05,5.77,3.63,145.24,8.16,15.34,1883.37
1883.06,5.82,3.63,150.89,8.43,15.9,1883.46
1883.07,5.73,3.63,151.59,8.62,15.95,1883.54
1883.08,5.47,3.62,144.71,8.64,15.2,1883.62
1883.09,5.53,3.62,147.8,8.75,15.49,1883.71
1883.1,5.38,3.62,143.8,8.77,15.05,1883.79
1883.11,5.46,3.62,147.45,8.89,15.41,1883.87
1883.12,5.34,3.62,142.73,8.82,14.9,1883.96
1884.01,5.18,3.62,138.45,8.77,14.43,1884.04
1884.02,5.32,3.61,142.19,8.73,14.81,1884.12
1884.03,5.3,3.6,141.66,8.69,14.74,1884.21
1884.04,5.06,3.6,138.09,8.82,14.35,1884.29
1884.05,4.65,3.59,129.63,8.97,13.47,1884.37
1884.06,4.46,3.58,124.33,8.92,12.91,1884.46
1884.07,4.46,3.57,125.68,8.97,13.04,1884.54
1884.08,4.74,3.56,133.57,8.92,13.86,1884.62
1884.09,4.59,3.55,130.77,8.97,13.57,1884.71
1884.1,4.44,3.55,127.9,9.03,13.27,1884.79
1884.11,4.35,3.54,128.16,9.18,13.3,1884.87
1884.12,4.34,3.53,129.33,9.24,13.43,1884.96
1885.01,4.24,3.52,126.35,9.07,13.13,1885.04
1885.02,4.37,3.51,128.75,8.79,13.38,1885.12
1885.03,4.38,3.5,132.04,8.82,13.73,1885.21
1885.04,4.37,3.48,130.23,8.54,13.55,1885.29
1885.05,4.32,3.47,131.76,8.56,13.71,1885.37
1885.06,4.3,3.46,134.31,8.59,13.98,1885.46
1885.07,4.46,3.45,137.65,8.31,14.33,1885.54
1885.08,4.71,3.43,145.37,8.13,15.13,1885.62
1885.09,4.65,3.42,145.25,8.04,15.12,1885.71
1885.1,4.92,3.41,153.68,7.86,15.99,1885.79
1885.11,5.24,3.4,161.73,7.59,16.82,1885.87
1885.12,5.2,3.38,156.76,7.24,16.3,1885.96
1886.01,5.2,3.37,160.49,7.35,16.69,1886.04
1886.02,5.3,3.38,163.58,7.31,17.01,1886.12
1886.03,5.19,3.4,162.11,7.34,16.84,1886.21
1886.04,5.12,3.41,161.88,7.38,16.8,1886.29
1886.05,5.02,3.42,162.68,7.51,16.86,1886.37
1886.06,5.25,3.43,172.29,7.55,17.83,1886.46
1886.07,5.33,3.45,172.73,7.4,17.85,1886.54
1886.08,5.37,3.46,171.88,7.26,17.72,1886.62
1886.09,5.51,3.47,176.36,7.2,18.15,1886.71
1886.1,5.65,3.48,180.84,7.15,18.56,1886.79
1886.11,5.79,3.5,185.32,7.1,18.97,1886.87
1886.12,5.64,3.51,178.32,6.96,18.19,1886.96
1887.01,5.58,3.52,172.22,6.87,17.51,1887.04
1887.02,5.54,3.53,168.98,6.86,17.13,1887.12
1887.03,5.67,3.55,172.94,6.94,17.47,1887.21
1887.04,5.8,3.56,176.91,7.02,17.82,1887.29
1887.05,5.9,3.57,179.96,7.09,18.08,1887.37
1887.06,5.73,3.58,176.85,7.25,17.71,1887.46
1887.07,5.59,3.6,174.61,7.42,17.43,1887.54
1887.08,5.45,3.61,168.21,7.41,16.74,1887.62
1887.09,5.38,3.62,168.05,7.57,16.68,1887.71
1887.1,5.2,3.63,160.49,7.56,15.88,1887.79
1887.11,5.3,3.65,161.66,7.55,15.95,1887.87
1887.12,5.27,3.66,157.05,7.45,15.46,1887.96
1888.01,5.31,3.67,156.44,7.32,15.36,1888.04
1888.02,5.28,3.65,157.34,7.35,15.42,1888.12
1888.03,5.08,3.63,151.38,7.3,14.81,1888.21
1888.04,5.1,3.62,153.75,7.33,15.02,1888.29
1888.05,5.17,3.6,157.69,7.37,15.39,1888.37
1888.06,5.01,3.58,154.63,7.41,15.08,1888.46
1888.07,5.14,3.56,156.78,7.27,15.28,1888.54
1888.08,5.25,3.54,160.13,7.22,15.6,1888.62
1888.09,5.38,3.52,164.1,7.17,15.99,1888.71
1888.1,5.35,3.51,161.28,7.03,15.72,1888.79
1888.11,5.24,3.49,156.15,6.9,15.22,1888.87
1888.12,5.14,3.47,153.17,6.85,14.95,1888.96
1889.01,5.24,3.45,161.73,7.07,15.8,1889.04
1889.02,5.3,3.45,165.55,7.13,16.19,1889.12
1889.03,5.19,3.45,164.09,7.19,16.07,1889.21
1889.04,5.18,3.44,163.78,7.17,16.05,1889.29
1889.05,5.32,3.44,172.41,7.32,16.92,1889.37
1889.06,5.41,3.44,175.32,7.29,17.22,1889.46
