Real Price,Date Fraction,Sell or Hold
394.23,1975.96,394.23
429.73,1976.04,429.73
444.72,1976.12,444.72
446.13,1976.21,446.13
448.06,1976.29,448.06
441.83,1976.37,441.83
442.1,1976.46,442.1
450.15,1976.54,450.15
443.93,1976.62,443.93
451.81,1976.71,451.81
434.13,1976.79,434.13
430.4,1976.87,430.4
443.76,1976.96,443.76
437.69,1977.04,0
421.56,1977.12,421.56
417.06,1977.21,417.06
407.22,1977.29,407.22
404.0,1977.37,404.0
403.5,1977.46,0
405.19,1977.54,0
393.99,1977.62,393.99
386.6,1977.71,386.6
375.38,1977.79,375.38
375.71,1977.87,375.71
372.67,1977.96,372.67
356.2,1978.04,356.2
348.95,1978.12,348.95
345.58,1978.21,345.58
357.89,1978.29,357.89
372.53,1978.37,372.53
369.48,1978.46,369.48
364.9,1978.54,364.9
388.32,1978.62,388.32
385.4,1978.71,385.4
369.83,1978.79,369.83
346.62,1978.87,346.62
350.19,1978.96,350.19
360.11,1979.04,360.11
350.66,1979.12,350.66
353.75,1979.21,353.75
356.73,1979.29,356.73
344.07,1979.37,344.07
346.98,1979.46,346.98
346.56,1979.54,346.56
358.98,1979.62,358.98
359.1,1979.71,359.1
342.78,1979.79,342.78
337.02,1979.87,337.02
346.69,1979.96,346.69
351.62,1980.04,351.62
360.47,1980.12,360.47
322.43,1980.21,322.43
313.67,1980.29,313.67
324.78,1980.37,324.78
341.82,1980.46,341.82
357.33,1980.54,357.33
365.72,1980.62,365.72
371.48,1980.71,371.48
378.74,1980.79,378.74
391.5,1980.87,391.5
381.59,1980.96,381.59
377.1,1981.04,377.1
360.33,1981.12,360.33
371.26,1981.21,371.26
372.09,1981.29,372.09
361.77,1981.37,361.77
360.21,1981.46,360.21
347.66,1981.54,347.66
346.36,1981.62,346.36
313.11,1981.71,313.11
316.4,1981.79,316.4
323.55,1981.87,323.55
324.87,1981.96,324.87
306.84,1982.04,306.84
298.56,1982.12,298.56
289.22,1982.21,289.22
302.3,1982.29,0
299.72,1982.37,299.72
278.97,1982.46,0
276.78,1982.54,0
276.97,1982.62,276.97
308.4,1982.71,0
333.34,1982.79,333.34
347.61,1982.87,347.61
352.32,1982.96,352.32
363.96,1983.04,363.96
369.88,1983.12,369.88
382.73,1983.21,382.73
394.53,1983.29,394.53
408.06,1983.37,408.06
412.53,1983.46,412.53
412.36,1983.54,412.36
399.8,1983.62,399.8
409.57,1983.71,409.57
409.58,1983.79,409.58
402.67,1983.87,402.67
400.33,1983.96,400.33
402.81,1984.04,402.81
378.92,1984.12,378.92
378.43,1984.21,378.43
377.07,1984.29,377.07
373.59,1984.37,373.59
364.18,1984.46,364.18
358.04,1984.54,358.04
388.07,1984.62,388.07
390.21,1984.71,390.21
386.06,1984.79,386.06
389.57,1984.87,389.57
385.35,1984.96,385.35
401.22,1985.04,401.22
420.97,1985.12,420.97
415.91,1985.21,415.91
416.74,1985.29,416.74
425.07,1985.37,425.07
433.05,1985.46,433.05
440.49,1985.54,440.49
430.08,1985.62,430.08
419.32,1985.71,419.32
422.54,1985.79,422.54
446.95,1985.87,446.95
467.84,1985.96,467.84
468.59,1986.04,468.59
495.15,1986.12,495.15
526.68,1986.21,526.68
540.59,1986.29,540.59
540.24,1986.37,540.24
552.59,1986.46,552.59
541.1,1986.54,541.1
550.91,1986.62,550.91
533.41,1986.71,533.41
530.92,1986.79,530.92
547.64,1986.87,547.64
554.96,1986.96,554.96
586.74,1987.04,586.74
620.88,1987.12,620.88
643.64,1987.21,643.64
633.21,1987.29,633.21
630.53,1987.37,630.53
655.04,1987.46,655.04
672.17,1987.54,672.17
710.26,1987.62,710.26
683.61,1987.71,683.61
599.46,1987.79,599.46
523.7,1987.87,523.7
515.15,1987.96,515.15
534.07,1988.04,534.07
548.85,1988.12,548.85
562.58,1988.21,562.58
553.17,1988.29,553.17
537.64,1988.37,537.64
565.89,1988.46,565.89
560.17,1988.54,560.17
546.62,1988.62,546.62
551.82,1988.71,551.82
569.28,1988.79,569.28
555.68,1988.87,555.68
566.02,1988.96,566.02
581.34,1989.04,581.34
596.4,1989.12,596.4
590.36,1989.21,590.36
605.76,1989.29,605.76
625.45,1989.37,625.45
643.42,1989.46,643.42
658.13,1989.54,658.13
686.17,1989.62,686.17
685.36,1989.71,685.36
682.28,1989.79,682.28
666.55,1989.87,666.55
681.92,1989.96,681.92
658.25,1990.04,658.25
636.82,1990.12,636.82
648.71,1990.21,648.71
647.17,1990.29,647.17
668.71,1990.37,668.71
684.36,1990.46,684.36
681.06,1990.54,681.06
619.96,1990.62,619.96
586.31,1990.71,586.31
567.48,1990.79,567.48
581.27,1990.87,581.27
606.08,1990.96,606.08
596.51,1991.04,596.51
662.91,1991.12,662.91
680.23,1991.21,680.23
692.73,1991.29,692.73
687.61,1991.37,687.61
686.13,1991.46,686.13
688.64,1991.54,688.64
703.18,1991.62,703.18
696.15,1991.71,696.15
694.56,1991.79,694.56
690.83,1991.87,690.83
694.96,1991.96,694.96
743.2,1992.04,743.2
734.25,1992.12,734.25
721.36,1992.21,721.36
720.41,1992.29,720.41
732.45,1992.37,0
718.33,1992.46,718.33
728.7,1992.54,728.7
731.67,1992.62,731.67
730.56,1992.71,730.56
717.58,1992.79,717.58
734.53,1992.87,734.53
757.3,1992.96,757.3
752.87,1993.04,752.87
761.4,1993.12,761.4
773.28,1993.21,773.28
759.0,1993.29,759.0
761.66,1993.37,761.66
765.41,1993.46,765.41
764.09,1993.54,764.09
773.63,1993.62,773.63
780.72,1993.71,780.72
785.39,1993.79,785.39
783.15,1993.87,783.15
788.32,1993.96,788.32
798.04,1994.04,798.04
792.95,1994.12,792.95
777.24,1994.21,777.24
748.44,1994.29,748.44
754.07,1994.37,754.07
758.07,1994.46,758.07
750.33,1994.54,750.33
768.56,1994.62,768.56
771.0,1994.71,0
765.28,1994.79,765.28
759.65,1994.87,759.65
750.06,1994.96,0
763.57,1995.04,763.57
787.79,1995.12,0
803.48,1995.21,803.48
824.81,1995.29,0
848.95,1995.37,0
872.42,1995.46,872.42
901.56,1995.54,901.56
902.01,1995.62,0
931.9,1995.71,0
935.53,1995.79,935.53
956.39,1995.87,956.39
987.61,1995.96,0
981.61,1996.04,0
1034.37,1996.12,1034.37
1025.14,1996.21,0
1021.37,1996.29,0
1041.56,1996.37,1041.56
1052.34,1996.46,0
1011.94,1996.54,0
1039.2,1996.62,1039.2
1054.97,1996.71,0
1093.06,1996.79,0
1144.2,1996.87,1144.2
1155.99,1996.96,0
1187.97,1997.04,1187.97
1233.97,1997.12,0
1221.28,1997.21,0
1176.29,1997.29,1176.29
1283.58,1997.37,1283.58
1348.46,1997.46,1348.46
1422.08,1997.54,0
1422.42,1997.62,1422.42
1433.86,1997.71,1433.86
1451.89,1997.79,0
1434.1,1997.87,1434.1
1471.74,1997.96,0
1470.52,1998.04,0
1559.79,1998.12,1559.79
1637.64,1998.21,0
1688.31,1998.29,0
1679.47,1998.37,1679.47
1677.36,1998.46,1677.36
1748.15,1998.54,0
1622.28,1998.62,0
1538.9,1998.71,1538.9
1552.95,1998.79,1552.95
1721.34,1998.87,0
1791.05,1998.96,1791.05
1874.85,1999.04,0
1869.29,1999.12,0
1916.07,1999.21,1916.07
1981.05,1999.29,1981.05
1977.05,1999.37,0
1962.92,1999.46,1962.92
2043.51,1999.54,2043.51
1959.64,1999.62,0
1936.61,1999.71,1936.61
1906.53,1999.79,0
2038.76,1999.87,2038.76
2093.98,1999.96,0
2083.27,2000.04,0
2017.65,2000.12,0
2078.01,2000.21,2078.01
2104.37,2000.29,2104.37
2040.24,2000.37,2040.24
2091.8,2000.46,0
2102.72,2000.54,2102.72
2120.51,2000.62,2120.51
2084.8,2000.71,0
1970.75,2000.79,0
1952.48,2000.87,0
1886.81,2000.96,0
1881.58,2001.04,0
1832.16,2001.12,1832.16
1660.15,2001.21,0
1659.14,2001.29,1659.14
1763.46,2001.37,0
1716.61,2001.46,0
1673.84,2001.54,0
1637.77,2001.62,1637.77
1445.23,2001.71,1445.23
1494.46,2001.79,0
1570.81,2001.87,0
1598.32,2001.96,0
1588.14,2002.04,0
1527.03,2002.12,1527.03
1591.78,2002.21,1591.78
1525.49,2002.29,0
1480.66,2002.37,1480.66
1390.39,2002.46,1390.39
1237.6,2002.54,1237.6
1245.72,2002.62,1245.72
1182.68,2002.71,1182.68
1162.79,2002.79,1162.79
1238.03,2002.87,1238.03
1226.11,2002.96,1226.11
1216.18,2003.04,1216.18
1127.65,2003.12,1127.65
1133.77,2003.21,1133.77
1194.49,2003.29,1194.49
1258.18,2003.37,1258.18
1326.69,2003.46,1326.69
1331.34,2003.54,1331.34
1322.27,2003.62,1322.27
1357.82,2003.71,1357.82
1385.01,2003.79,1385.01
1403.7,2003.87,1403.7
1446.37,2003.96,1446.37
1508.44,2004.04,0
1514.7,2004.12,1514.7
1479.49,2004.21,1479.49
1487.07,2004.29,0
1438.53,2004.37,1438.53
1472.97,2004.46,1472.97
1440.25,2004.54,1440.25
1417.48,2004.62,1417.48
1451.8,2004.71,1451.8
1443.61,2004.79,1443.61
1509.67,2004.87,1509.67
1554.46,2004.96,0
1528.17,2005.04,1528.17
1542.84,2005.12,0
1524.83,2005.21,1524.83
1476.02,2005.29,1476.02
1495.12,2005.37,1495.12
1524.75,2005.46,1524.75
1542.96,2005.54,1542.96
1537.65,2005.62,1537.65
1521.14,2005.71,1521.14
1476.03,2005.79,1476.03
1544.67,2005.87,1544.67
1581.91,2005.96,1581.91
1590.66,2006.04,1590.66
1584.88,2006.12,1584.88
1597.25,2006.21,1597.25
1594.1,2006.29,0
1571.41,2006.37,1571.41
1523.53,2006.46,1523.53
1527.61,2006.54,1527.61
1557.16,2006.62,0
1602.03,2006.71,1602.03
1666.55,2006.79,1666.55
1699.95,2006.87,0
1731.38,2006.96,0
1735.55,2007.04,0
1751.33,2007.12,1751.33
1690.06,2007.21,1690.06
1746.81,2007.29,0
1792.55,2007.37,0
1792.69,2007.46,0
1800.87,2007.54,1800.87
1725.77,2007.62,1725.77
1771.31,2007.71,1771.31
1817.75,2007.79,1817.75
1717.5,2007.87,1717.5
1737.25,2007.96,1737.25
1611.25,2008.04,1611.25
1578.75,2008.12,1578.75
1521.37,2008.21,1521.37
1573.66,2008.29,1573.66
1597.81,2008.37,1597.81
1512.01,2008.46,1512.01
1410.0,2008.54,1410.0
1442.83,2008.62,1442.83
1372.09,2008.71,1372.09
1103.45,2008.79,1103.45
1025.41,2008.87,1025.41
1029.7,2008.96,1029.7
1011.24,2009.04,1011.24
936.08,2009.12,936.08
878.03,2009.21,878.03
981.13,2009.29,981.13
1040.89,2009.37,1040.89
1059.14,2009.46,1059.14
1071.93,2009.54,1071.93
1154.01,2009.62,1154.01
1193.05,2009.71,1193.05
1218.28,2009.79,1218.28
1240.69,2009.87,1240.69
1268.36,2009.96,1268.36
1279.07,2010.04,1279.07
1239.58,2010.12,1239.58
1305.79,2010.21,1305.79
1354.75,2010.29,1354.75
1272.0,2010.37,1272.0
1226.05,2010.46,1226.05
1221.76,2010.54,1221.76
1228.53,2010.62,1228.53
1267.12,2010.71,1267.12
1321.37,2010.79,1321.37
1351.6,2010.87,1351.6
